Price,Close,High,Low,Open,Volume
Ticker,AUBANK.NS,AUBANK.NS,AUBANK.NS,AUBANK.NS,AUBANK.NS
Date,,,,,
2021-07-23,579.97,584.08,570.17,579.60,1957972
2021-07-26,586.82,592.54,576.02,584.08,2438558
2021-07-27,594.45,597.98,585.10,586.57,2310100
2021-07-28,584.15,594.53,563.71,594.53,2174688
2021-07-29,593.86,597.51,582.91,589.80,1326572
2021-07-30,606.82,608.63,582.69,595.02,2536790
2021-08-02,608.81,613.18,600.15,611.44,2742366
2021-08-03,596.99,616.91,593.86,607.46,1845392
2021-08-04,618.46,622.98,598.46,605.47,4389548
2021-08-05,616.96,626.17,606.96,619.90,3006188
2021-08-06,621.29,638.81,602.66,616.89,8251438
2021-08-09,629.23,632.44,612.98,622.01,3627644
2021-08-10,648.76,656.72,627.89,629.35,5077426
2021-08-11,640.97,652.96,626.44,651.74,2131818
2021-08-12,658.51,661.09,637.81,641.74,1923310
2021-08-13,659.92,664.97,648.28,656.72,1794282
2021-08-16,662.16,666.67,655.25,663.83,1469206
2021-08-17,671.74,678.36,657.46,664.18,2880214
2021-08-18,666.17,686.32,661.57,676.87,2307842
2021-08-20,647.44,663.68,637.61,661.69,1966886
2021-08-23,643.78,659.20,635.57,654.10,1481708
2021-08-24,676.49,691.47,641.79,649.25,4282230
2021-08-25,671.79,680.60,661.89,676.49,1746510
2021-08-26,673.28,687.54,664.18,671.94,3004486
2021-08-27,639.55,677.56,625.87,673.28,3174062
2021-08-30,644.23,651.24,620.02,624.38,4684786
2021-08-31,562.56,650.35,522.96,647.76,26080586
2021-09-01,575.17,601.29,556.29,583.08,19172322
2021-09-02,583.28,592.04,562.69,577.11,5914976
2021-09-03,582.04,603.48,572.71,587.09,7401602
2021-09-06,580.82,591.34,570.30,582.06,2457076
2021-09-07,578.90,588.01,572.88,584.00,2659654
2021-09-08,587.56,591.52,573.93,582.54,2051444
2021-09-09,583.95,589.53,582.09,583.08,1379996
2021-09-13,572.34,583.95,570.10,583.95,2798596
2021-09-14,564.18,580.57,559.23,572.14,3691422
2021-09-15,565.12,574.38,563.18,565.17,2294956
2021-09-16,573.71,577.76,561.69,570.22,2464466
2021-09-17,555.42,578.61,542.59,574.63,4457012
2021-09-20,548.88,562.19,539.80,546.72,2150348
2021-09-21,539.73,557.21,533.26,549.75,3860266
2021-09-22,539.80,548.56,537.31,543.66,2872384
